INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,DTXCID,CASRN,INCHIKEY,IUPAC_NAME,SMILES
1% cholesterol + 0.25% sodium cholate,Searched by Synonym: Found 0 results,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WY-14643,Searched by Synonym: Found 0 results,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acarbose,Approved Name,DTXSID8046034,Acarbose,DTXCID301508448,56180-94-0,CEMXHAPUFJOOSV-XGWNLRGSSA-N,"4,6-Dideoxy-4-{[(1S,4R,5S,6S)-4,5,6-trihydroxy-3-(hydroxymethyl)cyclohex-2-en-1-yl]amino}-alpha-D-glucopyranosyl-(1->4)-alpha-D-glucopyranosyl-(1->4)-D-glucose",C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@H]([C@H](O)CO)[C@H](O)[C@@H](O)C=O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O
acetamidofluorene,Searched by Synonym: Found 0 results,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acetaminophen,Approved Name,DTXSID2020006,Acetaminophen,DTXCID606,103-90-2,RZVAJINKPMORJF-UHFFFAOYSA-N,N-(4-Hydroxyphenyl)acetamide,CC(=O)NC1=CC=C(O)C=C1
adapin,Searched by Synonym: Found 0 results,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ajmaline,Approved Name,DTXSID6045537,Ajmaline,DTXCID501508575,4360-12-7,CJDRUOGAGYHKKD-OVXZWHIBSA-N,"(17R)-Ajmalan-17,21alpha-diol",[H][C@]12C[C@]34[C@H](O)[C@@]1([H])[C@@]1([H])C[C@]([H])(N2[C@H](O)[C@H]1CC)[C@]3([H])N(C)C1=CC=CC=C41
allopurinol,Approved Name,DTXSID4022573,Allopurinol,DTXCID502573,315-30-0,OFCNXPDARWKPPY-UHFFFAOYSA-N,"1,7-Dihydro-4H-pyrazolo[3,4-d]pyrimidin-4-one",O=C1N=CNC2=C1C=NN2
allyl alcohol,Approved Name,DTXSID8020044,Allyl alcohol,DTXCID2044,107-18-6,XXROGKLTLUQVRX-UHFFFAOYSA-N,Prop-2-en-1-ol,OCC=C
amiodarone,Approved Name,DTXSID7022592,Amiodarone,DTXCID702592,1951-25-3,IYIKLHRQXLHMJQ-UHFFFAOYSA-N,"(2-Butyl-1-benzofuran-3-yl){4-[2-(diethylamino)ethoxy]-3,5-diiodophenyl}methanone",CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1
